FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-02,Southwest Airlines Co.,PHX,SAT,False,False,1035,1254.0,139.0,139.0,1656.0,131.0,108.0,130.0,122.0,843.0,2022,2,4,2,6,WN,WN,19393,WN,1802,WN,19393,WN,N8691A,1802,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,14683,1468305,33214,"San Antonio, TX",TX,48,Texas,74,1.0,9.0,1000-1059,10.0,1304.0,1652.0,4.0,1445.0,131.0,1.0,8.0,1400-1459,4.0,0.0
2022-04-10,Southwest Airlines Co.,SAN,SFO,False,False,2100,2103.0,3.0,3.0,2235.0,10.0,69.0,85.0,92.0,447.0,2022,2,4,10,7,WN,WN,19393,WN,2678,WN,19393,WN,N949WN,2678,14679,1467903,33570,"San Diego, CA",CA,6,California,91,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,0.0,0.0,2100-2159,19.0,2122.0,2231.0,4.0,2225.0,10.0,0.0,0.0,2200-2259,2.0,0.0
2022-04-10,Southwest Airlines Co.,MSY,DEN,False,False,1320,1337.0,17.0,17.0,1532.0,17.0,148.0,175.0,175.0,1062.0,2022,2,4,10,7,WN,WN,19393,WN,165,WN,19393,WN,N8543Z,165,13495,1349505,33495,"New Orleans, LA",LA,22,Louisiana,72,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,1.0,1.0,1300-1359,18.0,1355.0,1523.0,9.0,1515.0,17.0,1.0,1.0,1500-1559,5.0,0.0
2022-04-04,Southwest Airlines Co.,LGB,LAS,False,False,1805,1803.0,0.0,-2.0,1903.0,0.0,45.0,70.0,60.0,231.0,2022,2,4,4,1,WN,WN,19393,WN,2721,WN,19393,WN,N7830A,2721,12954,1295407,32575,"Long Beach, CA",CA,6,California,91,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,0.0,-1.0,1800-1859,11.0,1814.0,1859.0,4.0,1915.0,-12.0,0.0,-1.0,1900-1959,1.0,0.0
2022-04-21,Southwest Airlines Co.,LAX,SMF,False,False,600,556.0,0.0,-4.0,728.0,0.0,63.0,95.0,92.0,373.0,2022,2,4,21,4,WN,WN,19393,WN,2553,WN,19393,WN,N758SW,2553,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,0.0,-1.0,0600-0659,26.0,622.0,725.0,3.0,735.0,-7.0,0.0,-1.0,0700-0759,2.0,0.0
2022-04-15,Southwest Airlines Co.,TPA,MDW,False,False,1210,1206.0,0.0,-4.0,1409.0,14.0,146.0,165.0,183.0,997.0,2022,2,4,15,5,WN,WN,19393,WN,221,WN,19393,WN,N423WN,221,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,1200-1259,10.0,1216.0,1342.0,27.0,1355.0,14.0,0.0,0.0,1300-1359,4.0,0.0
2022-04-06,Southwest Airlines Co.,DEN,MDW,False,False,1615,1634.0,19.0,19.0,1939.0,9.0,107.0,135.0,125.0,895.0,2022,2,4,6,3,WN,WN,19393,WN,2544,WN,19393,WN,N8573Z,2544,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,13232,1323202,30977,"Chicago, IL",IL,17,Illinois,41,1.0,1.0,1600-1659,11.0,1645.0,1932.0,7.0,1930.0,9.0,0.0,0.0,1900-1959,4.0,0.0
2022-04-28,Southwest Airlines Co.,OAK,LGB,False,False,1945,1943.0,0.0,-2.0,2101.0,0.0,59.0,80.0,78.0,353.0,2022,2,4,28,4,WN,WN,19393,WN,2636,WN,19393,WN,N8713M,2636,13796,1379608,32457,"Oakland, CA",CA,6,California,91,12954,1295407,32575,"Long Beach, CA",CA,6,California,91,0.0,-1.0,1900-1959,16.0,1959.0,2058.0,3.0,2105.0,-4.0,0.0,-1.0,2100-2159,2.0,0.0
2022-04-02,Southwest Airlines Co.,GEG,LAS,False,False,1105,1144.0,39.0,39.0,1352.0,32.0,112.0,135.0,128.0,806.0,2022,2,4,2,6,WN,WN,19393,WN,3113,WN,19393,WN,N8804L,3113,11884,1188402,31884,"Spokane, WA",WA,53,Washington,93,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,1.0,2.0,1100-1159,11.0,1155.0,1347.0,5.0,1320.0,32.0,1.0,2.0,1300-1359,4.0,0.0
2022-04-08,Southwest Airlines Co.,CMH,BNA,False,False,2025,2035.0,10.0,10.0,2104.0,19.0,55.0,80.0,89.0,337.0,2022,2,4,8,5,WN,WN,19393,WN,1206,WN,19393,WN,N438WN,1206,11066,1106606,31066,"Columbus, OH",OH,39,Ohio,44,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,0.0,0.0,2000-2059,15.0,2050.0,2045.0,19.0,2045.0,19.0,1.0,1.0,2000-2059,2.0,0.0
