BNA,"ECP,ISP,SNA,SEA,MIA,DFW,RSW,BDL,ORD,BUR,PWM,DTW,HOU,LAX,ATL,OKC,MCI,EYW,PHX,SLC,DSM,MLB,FSD,FNT,OAK,SYR,SFO,SJC,PVD,SFB,JFK,DCA,PIT,PNS,SAN,ORF,ROA,CID,PSP,SRQ,MFE,MSY,CMH,ATW,MSP,GRR,FLL,STL,IAH,JAX,PSM,DEN,TPA,LAS,ALB,VPS,ABE,MDT,XNA,SAV,CHS,PGD,PHL,BOS,IAD,CLE,CLT,MKE,AUS,BZN,LGA,DAL,RIC,RDU,MDW,MCO,PIE,MYR,SAT,FAR,BWI,SJU,OMA,PIA,EWR"
BOI,"SEA,SLC,SNA,PUW,DFW,GEG,AZA,SMF,OAK,ORD,BUR,MSP,AUS,IDA,PDX,IAH,PAE,SFO,SJC,DEN,LAX,LAS,ATL,SAN,PHX,PSP"
BOS,"SEA,MIA,DFW,RSW,BGR,ORD,IND,DTW,HOU,LAX,ATL,MCI,EYW,PHX,HHH,ACK,SLC,PBI,MEM,FNT,MVY,SYR,PDX,SFO,AGS,SJC,CVG,JFK,DCA,SAN,PIT,PNS,ORF,PSP,SRQ,MSY,CMH,SMF,MSP,GRR,AVL,FLL,STL,JAX,IAH,HDN,DEN,BUF,STT,TPA,LAS,ILM,ACY,VPS,BNA,MDT,SAV,CHS,SDF,PHL,IAD,CLE,CLT,MKE,AUS,BZN,LGA,RIC,RDU,MDW,MCO,TYS,TVC,MYR,SAT,ROC,SJU,BWI,EWR,HNL"
BPT,DFW
BQK,ATL
BQN,"FLL,MCO,PHL,JFK,EWR"
BRD,MSP
BRO,"IAH,DFW"
BRW,ANC
BTM,"SLC,DEN"
BTR,"IAH,DFW,ATL,DCA,CLT"
BTV,"MIA,DFW,PHL,IAD,CLT,ORD,MSP,LGA,DTW,MCO,DEN,ATL,JFK,DCA,EWR"
BUF,"MIA,DFW,RSW,PHL,BOS,IAD,ORD,CLT,MSP,LGA,DTW,FLL,MDW,RDU,MCO,DEN,LAX,TPA,LAS,JFK,DCA,ATL,BWI,PHX,SJU,EWR"
BUR,"SLC,SEA,ABQ,DFW,ONT,STS,SMF,OAK,AUS,DAL,PDX,HOU,MDW,SFO,DEN,SJC,LAS,JFK,BOI,BNA,PHX,RNO"
BWI,"ISP,SEA,ECP,MIA,DFW,RSW,BDL,JAN,ORD,PWM,IND,DTW,HOU,LAX,ATL,MCI,PHX,SLC,ABQ,BHM,PBI,MEM,SYR,SFO,PVD,CVG,JFK,PIT,SAN,ORF,SRQ,MSY,MHT,CMH,GRR,MSP,AVL,FLL,STL,IAH,JAX,DEN,BUF,TPA,LAS,ALB,VPS,BNA,SAV,CHS,SDF,PGD,BOS,CLE,CLT,MKE,AUS,LGA,DAL,MDW,RDU,MCO,TYS,MYR,SAT,GSP,SJU,ROC"
BZN,"SLC,SEA,SNA,DFW,AZA,BOS,IAD,ORD,CLT,MSP,AUS,DAL,PDX,FLL,DTW,IAH,SFO,DEN,LAX,LAS,ATL,JFK,SAN,BNA,EWR"
CAE,"MIA,DFW,ATL,PHL,DCA,IAD,CLT,ORD,LGA"
CAK,"SRQ,SAV,RSW,MCO,PIE,TPA,PHL,MYR,DCA,PGD,IAD,CLT,ORD"
CDC,SLC
CDV,"ANC,YAK"
CGI,"DEC,ORD,PAH"
CHA,"DTW,MIA,DFW,PIE,SFB,ATL,DCA,CLT,ORD"
CHO,"ATL,IAD,CLT,ORD,LGA"
CHS,"SEA,MIA,DFW,ORD,MSP,IND,DTW,FLL,STL,HOU,BLV,IAH,DEN,LAX,ATL,MCI,BNA,SDF,PHL,BOS,IAD,CLT,AUS,LGA,DAL,MDW,CVG,JFK,DCA,PIT,BWI,LCK,EWR"
CID,"SRQ,DFW,AZA,PGD,ORD,CLT,MSP,DTW,MCO,PIE,DEN,SFB,LAX,ATL,LAS,BNA,PHX"
CIU,"DTW,MSP"
CKB,"JST,PIE,SFB,MYR,IAD,ORD,VPS"
CLE,"SEA,SRQ,MIA,DFW,RSW,MSY,ORD,MSP,FLL,DTW,STL,IAH,DEN,LAX,TPA,ATL,LAS,BNA,PHX,SLC,PGD,PHL,BOS,IAD,CLT,LGA,RDU,MDW,SFO,MCO,MYR,DCA,JFK,BWI,EWR"
CLL,"IAH,DFW"
CLT,"ECP,SEA,HPN,HTS,JAN,BTR,ORD,TUL,SBY,HOU,BTV,TRI,PHX,DSM,LIT,PBI,FNT,MVY,PDX,CVG,DCA,PNS,PIT,CSG,ORF,AVP,SHV,ROA,CID,TLH,MHT,ATW,MSP,AVL,FLO,STL,IAH,JAX,JAC,FAY,DEN,PGV,STT,TPA,LAS,VPS,TTN,CAE,SDF,DAB,MKE,AUS,RIC,RDU,MDW,MCO,TYS,TVC,OMA,GNV,MIA,DFW,RSW,BDL,ONT,LEX,BGR,RAP,GSO,ERI,PWM,IND,DTW,EWN,LAX,ATL,OKC,MCI,EYW,EVV,HHH,ACK,DAY,SLC,MLB,CAK,BHM,FSD,MGM,MEM,SYR,MOB,CRW,SFO,AGS,PVD,CHO,HSV,JFK,CHA,SAN,OAJ,SRQ,MSY,CMH,SMF,LYH,GRR,FLL,GPT,BUF,ALB,ITH,ILM,ABE,FWA,MDT,BNA,AEX,XNA,LFT,SAV,CHS,PHF,BOS,PHL,IAD,SBN,CLE,SGF,MSN,BZN,LGA,DAL,STX,MYR,SAT,GSP,BWI,ROC,SJU,PIA,EWR,HNL"
CMH,"SEA,SRQ,MIA,DFW,MSY,RSW,ORD,MSP,FLL,STL,DTW,HOU,IAH,DEN,LAX,TPA,ATL,LAS,BNA,PHX,PHL,BOS,IAD,CLT,AUS,LGA,DAL,MDW,SFO,MCO,MYR,DCA,JFK,BWI,EWR"
CMI,"DFW,ORD"
CMX,ORD
CNY,"SLC,DEN"
COD,DEN
COS,"SLC,IAH,MDW,DFW,HOU,MCO,DEN,LAX,LAS,SAT,ORD,PHX,DAL"
COU,"DFW,ORD"
CPR,"SLC,DEN"
CRP,"IAH,HOU,DFW"
CRW,"MCO,ATL,MYR,DCA,CLT,ORD"
CSG,"DFW,ATL,CLT"
CVG,"SEA,SRQ,MIA,DFW,RSW,MSY,AZA,ORD,MSP,DTW,FLL,IAH,HOU,JAX,DEN,LAX,TPA,ATL,LAS,EYW,VPS,PHX,SLC,SAV,CHS,PBI,PGD,PHL,BOS,IAD,CLT,AUS,LGA,MDW,RDU,MCO,PIE,PVD,SFB,JFK,DCA,MYR,BWI,ORF,EWR"
CWA,"DTW,ORD,MSP"
CYS,DEN
DAB,"DTW,DFW,ATL,PHL,DCA,CLT"
DAL,"SEA,ECP,SNA,MIA,RSW,ONT,ORD,BUR,TUL,IND,HOU,ELP,LAX,ATL,MCI,PHX,RNO,SLC,LIT,ABQ,MTJ,BHM,MEM,OAK,LGB,PDX,SFO,SJC,DCA,PNS,SAN,PIT,ORF,PSP,SRQ,MSY,CMH,MAF,SMF,MSP,FLL,STL,IAH,JAX,HDN,DEN,AMA,TPA,LAS,VPS,BNA,SAV,CHS,SDF,COS,HRL,PHL,CLT,MKE,AUS,BZN,LGA,MDW,RDU,MCO,LBB,MYR,SAT,BWI,OMA"
DAY,"DTW,DFW,PIE,SFB,PGD,PHL,ATL,DCA,IAD,ORD,CLT,LGA"
DBQ,ORD
DCA,"ECP,SEA,MIA,DFW,RSW,BDL,HPN,JAN,BGR,LEX,BTR,GSO,ORD,PWM,TUL,IND,DTW,LAN,HOU,BTV,EWN,LAX,ATL,OKC,MCI,EYW,PHX,HHH,ACK,DAY,SLC,DSM,MLB,LIT,CAK,BHM,MGM,PBI,MEM,MVY,SYR,PDX,CRW,SFO,AGS,PVD,CVG,HSV,JFK,PNS,PIT,CHA,ORF,SRQ,TLH,MSY,MHT,CMH,GRR,MSP,AVL,FLL,STL,JAX,IAH,DEN,BUF,TPA,ALB,LAS,ILM,VPS,BNA,XNA,SAV,CHS,CAE,SDF,PHL,BOS,DAB,CLE,CLT,MKE,MSN,AUS,LGA,DAL,RDU,MDW,MCO,TYS,TVC,MYR,GSP,ROC,OMA,SJU,EWR"
DDC,"DEN,LBL"
DEC,"CGI,ORD,TBN"
