"Austin,","Mesa Airlines Inc.,American Airlines Inc.,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Bakersfield,","Mesa Airlines Inc.,Envoy Air,SkyWest Airlines Inc."
"Baltimore,","Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Bangor,","American Airlines Inc.,Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Republic Airlines,Envoy Air,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Barbara,","Mesa Airlines Inc.,American Airlines Inc.,Horizon Air,Envoy Air,SkyWest Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Barrow,",Alaska Airlines Inc.
Baton,"Mesa Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,United Air Lines Inc."
"Bay,","Air Wisconsin Airlines Corp,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Beach,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
Beach/Palm,"Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Republic Airlines,Frontier Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc."
