JetBlue Airways,29.10187286983655
Frontier Airlines Inc.,23.560712672641262
Allegiant Air,22.688600713517186
"GoJet Airlines, LLC d/b/a United Express",20.259623689080815
Mesa Airlines Inc.,18.85064295644115
Spirit Air Lines,18.395280990480455
American Airlines Inc.,17.718715590184594
Comair Inc.,16.925614840313635
United Air Lines Inc.,16.39084214380787
"Commutair Aka Champlain Enterprises, Inc.",16.342794505212584
Southwest Airlines Co.,15.959255456395761
SkyWest Airlines Inc.,14.964957064992044
Republic Airlines,14.896160352913464
Delta Air Lines Inc.,13.842471511674237
Endeavor Air Inc.,13.284602240364533
Air Wisconsin Airlines Corp,13.124800781450825
Capital Cargo International,12.05281381912969
Envoy Air,10.19695372077361
Alaska Airlines Inc.,10.153994041708044
Horizon Air,8.893327076151111
Hawaiian Airlines Inc.,8.890738838592553
