TPA,ORD
MEM,PIE
FLL,ABE
CPR,SLC
ORD,ATL
BIL,PDX
ORF,MIA
SRQ,ATW
SUN,SEA
MCO,DEN
ORF,MCO
LAS,VPS
DAY,PGD
PHL,MDT
LAS,PHL
STL,MCO
KOA,OAK
MRY,DFW
PHL,SAN
BQN,JFK
VPS,TYS
MSN,DFW
EGE,DEN
ABQ,IAH
OGG,EWR
ELP,ATL
CLE,RDU
FAY,DFW
LGA,ILM
SEA,CLT
OMA,CLT
MSP,FWA
MSP,EWR
TPA,SWF
DFW,FSM
CHS,SEA
DTW,ORD
TPA,LAX
SJC,MSP
SAV,BOS
MSP,PGD
ICT,SFB
DCA,MEM
LGA,IND
ILM,LGA
SEA,CMH
SFO,LAS
BWI,SJU
CHS,DCA
ORD,CMX
IAH,LRD
SEA,TUS
LAS,TPA
OAK,DEN
MSP,MKE
MSP,FAR
ORD,CKB
RDU,ORD
LGA,JAX
MIA,JFK
CHO,ATL
LAS,MCO
SJU,JAX
AMA,LAS
GEG,AZA
SAN,ORD
LAS,JFK
MYR,ISP
SNA,PVU
SLC,RNO
OAK,LAX
MFR,SFO
PDX,EWR
OMA,LGA
PIT,BOS
MSO,SLC
CLE,ORD
EWR,SDF
MCO,BDL
GRR,SFB
VPS,MSP
SRQ,IAD
PHL,SDF
PHX,CMH
CLT,TPA
PHL,DTW
DEN,HLN
SEA,BZN
MCO,EWR
DSM,ATL
EVV,ATL
PVD,MCO
IDA,OAK
SAV,ABE
ORD,EAU
TUL,IAH
MDW,ATL
FLL,SYR
BIS,SFB
SRQ,CLT
AUS,JAX
DEN,LAX
EAU,ORD
MDT,BNA
PIT,CHS
DFW,RIC
PGD,USA
HPN,ATL
MIA,BOS
BOS,DTW
MCO,PHL
JFK,SYR
DEN,SGU
ITO,LAX
ATL,MSP
PHL,MSP
BNA,SEA
PHL,LAS
BUF,RDU
MHT,MYR
STX,FLL
PIT,LGA
IAH,VCT
MSP,FLL
PHL,RSW
DFW,JAX
LIH,SJC
